i t_now Tx Ty Tz theta_x_filt theta_y_filt 
2530 13.622247695922852 0.1653016807326443 0.0024721994151266115 0.0 3.018365866773542e-09 -0.016744927070751873 
2531 13.62767505645752 0.16090204028304425 0.002472205558381507 0.0 2.2637744000801568e-09 -0.016345711799126184 
2532 13.633021831512451 0.15550007910920682 0.0024722101658226784 0.0 1.6978308000601176e-09 -0.015902489238725094 
2533 13.63836932182312 0.15188663281210144 0.002472213621403557 0.0 1.2733731000450882e-09 -0.015522135282863668 
2534 13.643643617630005 0.14865542449653057 0.002472216213089216 0.0 9.55029825033816e-10 -0.01518893278040699 
2535 13.648900747299194 0.14364837974359768 0.0024722181568534608 0.0 7.162723687753621e-10 -0.014795219796882657 
2536 13.654193878173828 0.13620490858344125 0.0024722196146766445 0.0 5.372042765815215e-10 -0.014260251744081518 
2537 13.659473180770874 0.13304603097852233 0.0024722207080440316 0.0 4.0290320743614113e-10 -0.013859025704480664 
2538 13.664736032485962 0.11420694578147057 0.0024722215280695726 0.0 3.021774055771058e-10 -0.012791115468455445 
2539 13.670034885406494 0.056215345859886114 0.0024722221430887275 0.0 2.2663305418282937e-10 -0.009593336601341583 
2540 13.67536449432373 0.03669010781964729 0.0024722226043530945 0.0 1.6997479063712203e-10 -0.007195002451006188 
2541 13.680776357650757 0.02204617928946814 0.0024722229503013693 0.0 1.2748109297784152e-10 -0.0053962518382546405 
2542 13.686095476150513 0.011063232891833787 0.0024722232097625758 0.0 9.561081973338114e-11 -0.00404718887869098 
2543 13.69153094291687 0.002826023093608021 0.0024722234043584802 0.0 7.170811480003585e-11 -0.003035391659018235 
2544 13.696777105331421 -0.0033518842550612944 0.002472223550305409 0.0 5.3781086100026894e-11 -0.0022765437442636765 
2545 13.702019453048706 -0.00798531476656329 0.002472223659765605 0.0 4.0335814575020174e-11 -0.0017074078081977574 
2546 13.707391262054443 -0.011460387650189781 0.002472223741860752 0.0 3.025186093126513e-11 -0.001280555856148318 
2547 13.712676525115967 -0.06355711107115297 0.0024722238034321125 0.0 2.268889569844885e-11 0.0013405533642173442 
2548 13.718177318572998 -0.08376372423818967 0.002472223849610633 0.0 1.7016671773836637e-11 0.0034981334217340223 
2549 13.723495960235596 -0.10011555198549674 0.0024722238842445235 0.0 1.2762503830377479e-11 0.005260129571553355 
2550 13.728728771209717 -0.11199477595930878 0.05093160897045952 0.0 -0.0022530341425186715 0.006629563719478462 
2551 13.734152793884277 -0.12147865521631081 0.06682706451321872 0.0 -0.004038683830100769 0.007704574503337751 
2552 13.739516019821167 -0.12813543834447444 0.07780988117897328 0.0 -0.005377921095787342 0.008510832591232219 
2553 13.744969844818115 -0.1352133585638745 0.0901911743156078 0.0 -0.006574097187294703 0.009211400228274285 
2554 13.750360250473022 -0.14164920582009433 0.09964336578347643 0.0 -0.007567103327046441 0.00983270002717705 
2555 13.755634307861328 -0.14863536701288876 0.10785828664058733 0.0 -0.00840773200298146 0.010442485983035947 
2556 13.760881662368774 -0.15658716942627027 0.11823919059459717 0.0 -0.009277886825090613 0.011091573592172553 
2557 13.766159296035767 -0.16066124734127366 0.12365329815501998 0.0 -0.009930502941672479 0.011578389299025006 
2558 13.771446228027344 -0.1658066207636285 0.13186335648925268 0.0 -0.01061171317135131 0.012039375150285562 
2559 13.776703119277954 -0.17079749997218613 0.13819241888191688 0.0 -0.011218494914731649 0.012480986747207046 
2560 13.782020330429077 -0.1756733821233225 0.14510134368857674 0.0 -0.011817392328948727 0.012908069516019374 
2561 13.787559509277344 -0.1814948665139014 0.1509359235524755 0.0 -0.012362437598087602 0.013372192699310444 
2562 13.792876958847046 -0.1875474046228628 0.15747604239719162 0.0 -0.012915032656623582 0.01386409619346057 
2563 13.798187255859375 -0.19377445541501792 0.16406714888986998 0.0 -0.01347329005720739 0.014376834920754988 
2564 13.803468942642212 -0.2011646267806273 0.1706977185129268 0.0 -0.01403579421432707 0.014953135245823083 
2565 13.808857917785645 -0.20482524183583123 0.17735910787817422 0.0 -0.014601483438848654 0.015385360489624156 
2566 13.814229249954224 -0.20554404499549317 0.18095167325640552 0.0 -0.015025750357239843 0.015613655351353745 
2567 13.819647312164307 -0.20707652247381694 0.18368073171119284 0.0 -0.015343950546033235 0.015784876497650938 
2568 13.824888706207275 -0.19795001774907475 0.17854478386790984 0.0 -0.015247041438704022 0.015433923864412901 
2569 13.830172538757324 -0.1876809941281629 0.1739559827247668 0.0 -0.014982611465964682 0.014787214967644659 
2570 13.835470199584961 -0.1745619871292675 0.16730678701404939 0.0 -0.014544605671252285 0.013870749975023007 
2571 13.840835571289062 -0.10925978197082609 0.15237223369313946 0.0 -0.013640858761135842 0.010403062481267255 
2572 13.846128940582275 -0.0880865155948902 0.1469469697815939 0.0 -0.01296304857854851 0.007802296860950441 
2573 13.851521015167236 -0.07220656581293829 0.13671492491011816 0.0 -0.012167068728244364 0.005851722645712831 
2574 13.856890439987183 -0.060296603476474336 0.07935429406198873 0.0 -0.009125301546183273 0.004388791984284623 
2575 13.86215615272522 -0.05136413172412638 0.060781643869221455 0.0 -0.006843976159637454 0.0032915939882134674 
2576 13.867549419403076 -0.044664777909865415 0.046852156224646 0.0 -0.005132982119728091 0.0024686954911601004 
