i t_now control_mode Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y inner_x_Kp inner_x_Ki inner_x_Kd inner_y_Kp inner_y_Ki inner_y_Kd
7478 40.40601873397827 2 0.6347229348437625 -0.21355091350010316 0.0 0.20133773208600636 -0.6189179721793471 0.4175802400933407 0.0013554452072463865 -0.05029148591417571 0.724843914266083 6.7712541658622865 17.174974837437773 -16.635013600102027 -1.7885729718469854 -4.599187641892249 4.599187641892249 10.9510373396855 -2.431521116863413 1.3250755181019456 -0.294214055140473 -0.36277838053146994 0.0952046343891011 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7479 40.4113883972168 2 0.5534792457271829 -0.27279652479658456 0.0 0.25719503009038547 -0.5805114267958942 0.32331639670550877 0.004711601030003172 -0.04628707738925687 0.7238885820270522 6.761436688819818 17.149729896471424 -16.60976865913568 -1.4879023131260198 -4.463706939378059 5.058867864628468 10.934683693681073 -2.4278493127822904 1.32309672693541 -0.2937697668466571 -0.3957582333071308 0.08885765876317508 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7480 40.41662287712097 2 0.46908100502508676 -0.32787833228953434 0.0 0.3091266562214211 -0.5375663648918353 0.22843970867041422 0.008041352286057867 -0.04206658061585628 0.7228797873871396 6.754424205218055 17.128692445666136 -16.585926214889685 -1.375536210624349 -4.676823116122787 4.951930358247656 10.920147119454919 -2.4247020521413285 1.3213378014540451 -0.2933889483091007 -0.35178509627296073 0.07616370751127866 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7481 40.42192840576172 2 0.37340388962358007 -0.3871352785768166 0.0 0.3649946409576135 -0.4873803196615739 0.1223856787039603 0.011404423564938735 -0.037531666209335346 0.7218322324978104 6.7474117216162925 17.104850001420143 -16.560681273923336 -1.1883047831837206 -4.753219132734882 5.0502953285308125 10.90424774139506 -2.4218170632204457 1.3194139767088022 -0.2930398646496739 -0.38476494904857717 0.06981673188536375 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7482 40.427236795425415 2 0.2708889172652556 -0.4462817297229319 0.0 0.4207584498756628 -0.43155909969612627 0.010800649820463408 0.014791693567240204 -0.032663421892273364 0.7207565290976462 6.741801734734882 17.0824100538945 -16.536838829677343 -0.5309470832302049 -4.778523749071844 5.309470832302049 10.889256899224335 -2.419456617739725 1.3176000848061447 -0.29275425074650674 -0.36277838053151434 0.05712278063343401 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7483 40.432703256607056 2 0.16565329713456456 -0.4972696210059191 0.0 0.46883029478846644 -0.3696704981240098 -0.09915979666445658 0.01809154298085993 -0.02750060976594019 0.7197127986587222 6.737594244573825 17.03332266868216 -16.48634894774465 -0.29739116207646016 -5.055649755299823 4.7582585932233625 10.857003875160052 -2.417620715699163 1.3136974688943661 -0.2925321065995987 -0.780523182355708 0.044428829381604196 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7484 40.43795299530029 2 -0.08799734482576455 -0.6011926788864861 0.0 0.5668098933871211 -0.21155541551260565 -0.35525447787451536 0.022010360448319517 -0.020181509365153717 0.7184823665482797 6.736191747853471 17.009480224436167 -16.463909000219008 0.5328634955746908 -5.062203207959563 4.2629079645975265 10.842013032989332 -2.4173584439790825 1.3118835769917092 -0.292500371721469 -0.3627783805313811 0.006346975625948215 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7485 40.44320559501648 2 -0.20355120261526424 -0.6338979251506335 0.0 0.5976446952721273 -0.13262348665697357 -0.4650212086151536 0.025486245480405484 -0.012976350865566966 0.7173788144073057 6.7389967412941765 16.982832786749466 -16.441469052693368 0.7923710284477888 -5.018349846835997 3.697731466089681 10.826113654929472 -2.419194346019644 1.309959752246466 -0.29272251586837694 -0.3847649490486216 -0.044428829381593093 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7486 40.44844937324524 2 -0.3277085787755614 -0.6724770953917747 0.0 0.6340174857922087 -0.04943580878517419 -0.5845816770070347 0.02869296073963603 -0.005748948225992977 0.7163149248992696 6.743204231455234 16.956185349062768 -16.421834098608432 0.8876561521218901 -5.03005152869071 3.5506246084875603 10.81112281275875 -2.422079334940526 1.3081458603438088 -0.29307159952780365 -0.36277838053146994 -0.06981673188534154 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7487 40.4538049697876 2 -0.46800003032208726 -0.6879215747044405 0.0 0.6485786805307172 0.057831084366697635 -0.7064097648974148 0.031389220164509596 0.0017045949617830198 0.7152798392320188 6.7474117216162925 16.93234290481677 -16.4050041379642 1.5973766746612599 -4.525900578206904 2.6622944577687666 10.797949042366296 -2.4249643238614094 1.3065518341263218 -0.2934206831872305 -0.3188052434973887 -0.06981673188537485 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7488 40.459118127822876 2 -0.6235962676035365 -0.6892961662389931 0.0 0.6498746578579757 0.1842268914485909 -0.8341015493065665 0.03350478991908847 0.009532352570922333 0.7142656062476315 6.755826701938408 16.908500460570778 -16.390979170760676 1.7771869740476278 -4.44296743511907 2.369582632063504 10.785683807862977 -2.4299474865429325 1.3050677407514202 -0.2940236458716948 -0.2968186749803259 -0.12059253689286065 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7489 40.46458601951599 2 -0.7858111975460735 -0.6768827548514161 0.0 0.6381711813648903 0.32252656536864566 -0.960697746733536 0.034988664710021336 0.01773686373992034 0.7132665821954369 6.764241682260524 16.88746300976549 -16.379759196997856 2.1266060960615407 -3.9873864301153894 1.8607803340538482 10.77523564513793 -2.434930649224456 1.3038035130616894 -0.2946266085561592 -0.25284553794615583 -0.12059253689287175 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7490 40.46994709968567 2 -0.9344244535032658 -0.6751402268595638 0.0 0.6365283102189621 0.4446902163111942 -1.0 0.03611878248398873 0.02605749354375793 0.7122786031906572 6.775461656023345 16.866425558960202 -16.369941719955385 2.3620997395411982 -3.543149609311797 1.1810498697705991 10.765241750357445 -2.4412251705063803 1.3025942517932507 -0.29538824563127203 -0.24185225368773544 -0.1523274150225684 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7491 40.47541570663452 2 -0.900708917426946 -0.6708052900737168 0.0 0.6324412926225789 0.4192051051789254 -1.0 0.03693949785305755 0.03210011044409046 0.7115611119944135 6.786681629786165 16.84959559831597 -16.364331733073975 2.6850607281798076 -2.983400809088675 0.5966801618177351 10.757973463244369 -2.447519691788304 1.3017147890525687 -0.2961498827063848 -0.17589254813641375 -0.1523274150225573 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7492 40.48076367378235 2 -1.0 -0.6394391442597754 0.0 0.6028690067496135 0.515062077552919 -1.0 0.037168043515444844 0.038640740636991786 0.7108825486442496 6.799304100269338 16.835570631112446 -16.36152673963327 2.940244696755946 -2.4056547518912286 0.0 10.75252224790956 -2.454338756510389 1.3010551919970568 -0.29697498953775703 -0.13191941110237693 -0.16502136627444264 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7493 40.4860577583313 2 -1.0 -0.6024028933141095 0.0 0.5679508944917374 0.5325211336818572 -1.0 0.03686155036180664 0.0436006706524363 0.7104422419016211 6.814731564193216 16.822948160629274 -16.36152673963327 3.158776397190509 -2.1058509314603397 0.0 10.748433836408454 -2.4624691798328744 1.300560494205423 -0.2979587707597778 -0.09893955832676049 -0.1967562444041504 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7494 40.491294145584106 2 -1.0 -0.5594596465791284 0.0 0.5274636131951078 0.5527647743301719 -1.0 0.03606150754025047 0.04736016421572398 0.7101224818561603 6.831561524837448 16.81172818686645 -16.36152673963327 3.5543739480952556 -1.4809891450396895 -0.296197829007938 10.744799692851915 -2.4708618748754416 1.3001207628350817 -0.29897428685992844 -0.08794627406825128 -0.20310322003013193 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7495 40.49652981758118 2 -1.0 -0.5063940198546636 0.0 0.4774328605220637 0.5777801506666941 -1.0 0.03474554925924684 0.05040536733052131 0.7099952911945278 6.848391485481678 16.804715703264687 -16.362929236353622 3.4498500216809127 -0.7961192357725183 0.0 10.742982621073645 -2.4787300264778467 1.299900897149911 -0.29992633320381945 -0.04397313703412564 -0.1904092687782022 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7496 40.50174641609192 2 -1.0 -0.4513785201854057 0.0 0.4255637500067323 0.6037147059243597 -1.0 0.033002425691426564 0.0527743458243805 0.7100078832080085 6.866623942846261 16.80050821310363 -16.362929236353622 4.160829431010003 -0.5944042044300005 0.0 10.741619817239942 -2.4863359063601718 1.2997359978860328 -0.3008466446695808 -0.032979852775660845 -0.18406229315226508 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7497 40.50696778297424 2 -1.0 -0.3819204236017317 0.0 0.36007802853656423 0.6364575666594438 -0.9965355951960079 0.030739100316033566 0.05428476363929575 0.7102270141783146 6.8862588969311975 16.797703219662925 -16.362929236353622 4.092640438745464 0.0 0.0 10.740711281350807 -2.4942040579625773 1.2996260650434477 -0.30179869101347184 -0.021986568517018412 -0.1904092687782133 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7498 40.512367963790894 2 -0.9538090338508178 -0.3064801863302583 0.0 0.288952290737923 0.6343056696282088 -0.923257960366132 0.02799300022127106 0.054751703807536425 0.7107011639255545 6.928333798541776 16.80050821310363 -16.362929236353622 4.479866014754854 0.8959732029509706 0.0 10.741619817239942 -2.5094158177272288 1.2997359978860328 -0.30363931394499466 0.021986568517018412 -0.36812458630456346 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7499 40.517677307128906 2 -0.8472085353756235 -0.1238361759053252 0.0 0.11675386631848744 0.6333659393077391 -0.7501198056262266 0.0234788949248734 0.05372589818913159 0.7117804211835853 6.949371249347065 16.804715703264687 -16.362929236353622 4.375111625198163 1.3672223828744259 0.0 10.742982621073645 -2.516497154169394 1.299900897149911 -0.30449615565449667 0.032979852775660845 -0.17136834190040195 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7500 40.52300810813904 2 -0.8032807576363435 -0.045386710845051303 0.0 0.04279100135238506 0.6344804914589153 -0.6772714928113002 0.018940741179380167 0.05235097939446889 0.7129316930643118 6.971811196872706 16.81172818686645 -16.362929236353622 4.746181794763404 1.8457373646302129 -0.2636767663757447 10.74525396079648 -2.523578490611559 1.300175729256374 -0.3053529973639986 0.05496642129259044 -0.17136834190039085 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7501 40.528382539749146 2 -0.7728932266428905 0.024913516967926846 0.0 -0.02348868905496958 0.6428090215036029 -0.6193203324486332 0.014490116135047896 0.05088001499465492 0.7142402240385473 6.997056137839053 16.82154566390892 -16.364331733073975 4.447664018031457 2.0755765417480134 -1.186043738141722 10.748888104353021 -2.5314466422139636 1.3006154606267155 -0.3063050437078896 0.0879462740682957 -0.1904092687781911 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7502 40.53371453285217 2 -0.7469288887627723 0.08751850842901648 0.0 -0.08251324105265276 0.6511215043972756 -0.5686082633446229 0.010208050492194422 0.04939179888607568 0.7156629598841171 7.018093588644341 16.83136314095139 -16.369941719955385 4.531922494961788 2.665836761742228 -1.332918380871114 10.753885051743262 -2.538527978656129 1.3012200912609346 -0.3071618854173916 0.12092612684382331 -0.17136834190040195 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
